"partID_given","partID","dyadID","gender_baseline","Progress","Duration","RecordedDate","DistributionChannel","day","gender","gender_6_TEXT","gate1","gate2","gate3","gate4","gate5","gate6","beds","vaccum","food","dishes","garbage","yardwork","pets","laundry","errands","cars","finances","events","calls","other_chores","fair_chores","satisfied_chores","homeschool","attention","worrying","activities","clothes","sick","getting_up","put_to_bed","discipline","reading","playing","picking_up","hygiene","dressing","comforting","feeding","other_childcare","fair_childcare","satisfied_childcare","wfibs1","wfibs2","wfibs3","covid_pres1","covid_pres2","covid_pres3","covid_pres4","covid_pres5","covid_pres6","qmi1","qmi2","qmi3","qmi4","comm1","comm2","comm3","comm4","comments","ResponseID","RecordedDate_lag","dist","first_sec","prob","rec_num","weekish","day_of_study","week","problems","ID_check","ResponseID_chr","obsid"
"","R_1QAbWeDxIaGB0nm",377033,"Woman",100,500,2020-10-10 20:46:00,"email","Saturday","Woman",NA,"Somewhat agree","Somewhat agree","Somewhat agree","","","","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","no","Slightly unfair to you","Somewhat dissatisfied","","","","","","","","","","","","","","","","","","","","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","no",6,2020-10-03 19:08:00,7.06805555555556,2,0,13,2,13,2,0,0,"6",5278461
"","R_1QAbWeDxIaGB0nm",377033,"Woman",100,155,2020-10-11 19:16:00,"email","Sunday","Woman",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","","","","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","no","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","no",8,2020-10-04 19:04:00,7.00833333333333,2,0,14,2,14,2,0,0,"8",5278462
"","R_3ELr3P738kowP2k",377033,"",100,433,2020-09-28 21:45:00,"email","Monday","Man",NA,"Somewhat disagree","Strongly disagree","Strongly disagree","","","","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","none",3,NA,NA,1,0,1,1,1,1,0,0,"3",5278449
"","R_3ELr3P738kowP2k",377033,"Man",100,186,2020-09-29 22:01:00,"email","Tuesday","Man",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","none",11,NA,NA,1,0,2,1,2,1,0,0,"11",5278450
"","R_3ELr3P738kowP2k",377033,"Man",100,330,2020-09-30 21:57:00,"email","Wednesday","Man",NA,"Somewhat disagree","Somewhat agree","Neither agree nor disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","none",13,NA,NA,1,0,3,1,3,1,0,0,"13",5278451
"","R_3ELr3P738kowP2k",377033,"Man",100,906,2020-10-01 20:22:00,"email","Thursday","Man",NA,"Strongly disagree","Strongly disagree","Strongly disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","none",9,NA,NA,1,0,4,1,4,1,0,0,"9",5278452
"","R_3ELr3P738kowP2k",377033,"Man",100,1070,2020-10-02 21:19:00,"email","Friday","Man",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","none",1,NA,NA,1,0,5,1,5,1,0,0,"1",5278453
"","R_3ELr3P738kowP2k",377033,"Man",100,515,2020-10-03 21:23:00,"email","Saturday","Man",NA,"Somewhat disagree","Strongly disagree","Strongly disagree","","","","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","none","Pretty much fair to me","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","A little true about me","A little true about me","A little true about me","A little true about me","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","none",5,NA,NA,1,0,6,1,6,1,0,0,"5",5278454
"","R_3ELr3P738kowP2k",377033,"Man",100,262,2020-10-04 20:02:00,"email","Sunday","Man",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Pretty much fair to me","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat true about me","A little true about me","A little true about me","A little true about me","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","none",7,NA,NA,1,0,7,1,7,1,0,0,"7",5278455
"","R_3ELr3P738kowP2k",377033,"Man",100,790,2020-10-05 21:17:00,"email","Monday","Man",NA,"Strongly disagree","Somewhat disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","A little true about me","A little true about me","Somewhat true about me","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","none",4,2020-09-28 21:45:00,6.98055555555556,2,0,8,2,8,2,0,0,"4",5278456
"","R_3ELr3P738kowP2k",377033,"Man",100,532,2020-10-06 19:56:00,"email","Tuesday","Man",NA,"Somewhat disagree","Strongly disagree","Strongly disagree","","","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","none",12,2020-09-29 22:01:00,6.91319444444444,2,0,9,2,9,2,0,0,"12",5278457
"","R_3ELr3P738kowP2k",377033,"Man",100,657,2020-10-07 20:53:00,"email","Wednesday","Man",NA,"Somewhat disagree","Strongly disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","A little true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","none",14,2020-09-30 21:57:00,6.95555555555556,2,0,10,2,10,2,0,0,"14",5278458
"","R_3ELr3P738kowP2k",377033,"Man",100,304,2020-10-08 19:59:00,"email","Thursday","Man",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","none",10,2020-10-01 20:22:00,6.98402777777778,2,0,11,2,11,2,0,0,"10",5278459
"","R_3ELr3P738kowP2k",377033,"Man",100,464,2020-10-09 21:45:00,"email","Friday","Man",NA,"Somewhat disagree","Neither agree nor disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","none","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","none",2,2020-10-02 21:19:00,7.01805555555556,2,0,12,2,12,2,0,0,"2",5278460
"","R_3ELr3P738kowP2k",377033,"Man",100,375,2020-10-10 21:00:00,"email","Saturday","Man",NA,"Neither agree nor disagree","Somewhat agree","Somewhat disagree","","","","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","No","none","Fair to both you and your partner","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat true about me","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","none",6,2020-10-03 21:23:00,6.98402777777778,2,0,13,2,13,2,0,0,"6",5278461
"","R_3ELr3P738kowP2k",377033,"Man",100,255,2020-10-11 19:37:00,"email","Sunday","Man",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","","","","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","none","Fair to both you and your partner","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly agree","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat true about me","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","none",8,2020-10-04 20:02:00,6.98263888888889,2,0,14,2,14,2,0,0,"8",5278462
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,349,2020-09-29 17:42:00,"email","Tuesday","Woman",NA,"Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","no","Fair to both you and your partner","Somewhat satisfied","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","no","Fair to both you and your partner","Somewhat satisfied","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","no",10,NA,NA,1,0,1,1,2,1,1,1,"10",10329664
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,217,2020-09-30 17:05:00,"email","Wednesday","Woman",NA,"Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Fair to both you and your partner","Neither satisfied nor dissatisfied","Yes","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",12,NA,NA,1,0,2,1,3,1,1,1,"12",10329665
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,194,2020-10-01 17:07:00,"email","Thursday","Woman",NA,"Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly disagree","Strongly disagree","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Fair to both you and your partner","Neither satisfied nor dissatisfied","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","no","Fair to both you and your partner","Somewhat satisfied","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",8,NA,NA,1,0,3,1,4,1,1,1,"8",10329666
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,164,2020-10-02 18:11:00,"email","Friday","Woman",NA,"Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",1,NA,NA,1,0,4,1,5,1,1,1,"1",10329667
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,143,2020-10-03 17:14:00,"email","Saturday","Man",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","No","No","No","No","No","No","No","No","No","Yes","No","No","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",4,NA,NA,1,0,5,1,6,1,1,1,"4",10329668
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,159,2020-10-04 17:42:00,"email","Sunday","Man",NA,"Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","No","No","Yes","No","No","No","No","No","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","no","Pretty much fair to me","Somewhat satisfied","Strongly disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",6,NA,NA,1,0,6,1,7,1,1,1,"6",10329669
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,320,2020-10-05 17:55:00,"email","Monday","Woman",NA,"Somewhat agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","I worked today so it was a long day.  I did  a lot of prep work before I left for work today",3,NA,NA,1,0,7,1,8,1,1,1,"3",10329670
"R_21t5t5JNXiVzDtK","R_21t5t5JNXiVzDtK",737834,"Woman",100,247,2020-10-06 17:37:00,"email","Tuesday","Man",NA,"Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","No","No","No","No","No","No","No","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","no","Pretty much fair to me","Somewhat satisfied","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Mostly true about me","Mostly true about me","Mostly true about me","Mostly true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",11,2020-09-29 17:42:00,6.99652777777778,2,0,8,2,9,2,1,1,"11",10329671
